rank,prev_rank,name,league,off,def,spi
302,302,Hamburg SV,German 2. Bundesliga,1.18,1.34,41.63
303,303,Colon Santa Fe,Argentina Primera Division,1.03,1.17,41.62
304,294,Sporting Kansas City,Major League Soccer,1.42,1.62,41.58
305,304,Estudiantes,Argentina Primera Division,0.97,1.11,41.33
306,305,OFI Crete,Greek Super League,1.14,1.32,41.25
307,307,Rotherham United,English League Championship,1.4,1.62,41.14
308,308,Atlas,Mexican Primera Division Torneo Clausura,1.18,1.37,41.13
309,315,Granada,Spanish Segunda Division,0.89,1.02,41.11
310,310,Bursaspor,Turkish Turkcell Super Lig,0.89,1.03,41.04
311,311,Ankaragucu,Turkish Turkcell Super Lig,1.24,1.45,40.96
312,313,Thun,Swiss Raiffeisen Super League,1.36,1.58,40.93
313,292,Los Angeles Galaxy,Major League Soccer,1.48,1.73,40.82
314,314,Puebla,Mexican Primera Division Torneo Clausura,1.15,1.35,40.81
315,318,Aldosivi,Argentina Primera Division,0.96,1.14,40.66
316,309,Seattle Sounders FC,Major League Soccer,1.24,1.47,40.61
317,319,FC Zurich,Swiss Raiffeisen Super League,1.12,1.32,40.6
318,320,Chaves,Portuguese Liga,1.29,1.52,40.54
319,321,Melbourne City,Australian A-League,1.16,1.38,40.48
320,323,Morelia,Mexican Primera Division Torneo Clausura,1.25,1.49,40.32
321,324,Orlando Pirates,South African ABSA Premier League,1.05,1.25,40.31
322,322,Hebei China Fortune FC,Chinese Super League,1.29,1.54,40.31
323,325,Waasland-Beveren,Belgian Jupiler League,1.42,1.7,40.16
324,326,Esbjerg,Danish SAS-Ligaen,1.19,1.43,40.15
325,316,Fortaleza,Brasileiro Série A,1.15,1.38,40.15
326,327,Lamia,Greek Super League,0.96,1.16,40.13
327,328,Belenenses,Portuguese Liga,1.19,1.43,39.97
328,329,Belgrano Cordoba,Argentina Primera Division,0.93,1.13,39.92
329,330,Haugesund,Norwegian Tippeligaen,1.14,1.39,39.8
330,331,Barnsley,English League One,1.19,1.45,39.8
331,332,Rosenborg,Norwegian Tippeligaen,1.16,1.41,39.77
332,333,Guangzhou RF,Chinese Super League,1.44,1.73,39.77
333,334,Patronato,Argentina Primera Division,1.11,1.36,39.58
334,337,Shanghai Greenland,Chinese Super League,1.24,1.52,39.41
335,338,San Martin San Juan,Argentina Primera Division,1.1,1.36,39.39
336,339,Kayserispor,Turkish Turkcell Super Lig,1.22,1.5,39.35
337,341,Rosario Central,Argentina Primera Division,0.96,1.2,39.27
338,342,Godoy Cruz,Argentina Primera Division,1.04,1.29,39.22
339,343,Aberdeen,Scottish Premiership,1.25,1.54,39.2
340,344,Newcastle Jets,Australian A-League,1.39,1.71,39.14
341,345,Heracles,Dutch Eredivisie,1.63,2.0,39.05
342,346,Heerenveen,Dutch Eredivisie,1.63,2.0,39.03
343,347,Tondela,Portuguese Liga,1.26,1.57,38.98
344,348,Holstein Kiel,German 2. Bundesliga,1.38,1.71,38.95
345,349,Larissa,Greek Super League,0.88,1.11,38.91
346,351,Tianjin Teda,Chinese Super League,1.18,1.49,38.58
347,354,Houston Dynamo,Major League Soccer,1.27,1.61,38.46
348,362,Avaí,Brasileiro Série A,1.05,1.36,38.2
349,317,Cadiz,Spanish Segunda Division,0.98,1.26,38.17
350,353,San Martin de Tucuman,Argentina Primera Division,1.11,1.43,38.12
351,355,PEC Zwolle,Dutch Eredivisie,1.32,1.69,38.11
352,336,Sanfrecce Hiroshima,Japanese J League,0.98,1.27,38.05
353,352,Chongqing Lifan,Chinese Super League,1.11,1.43,38.03
354,356,SC Paderborn,German 2. Bundesliga,1.36,1.73,38.02
355,357,Antalyaspor,Turkish Turkcell Super Lig,1.24,1.59,38.02
356,369,Chicago Fire,Major League Soccer,1.24,1.6,37.96
357,360,Akhisar Belediye,Turkish Turkcell Super Lig,1.08,1.4,37.89
358,363,Neuchatel Xamax,Swiss Raiffeisen Super League,1.18,1.53,37.78
359,364,Lens,French Ligue 2,0.9,1.18,37.75
360,340,Albacete,Spanish Segunda Division,0.95,1.25,37.72
361,365,Arminia Bielefeld,German 2. Bundesliga,1.16,1.5,37.7
362,366,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.28,37.68
363,367,Krylia Sovetov,Russian Premier Liga,1.12,1.46,37.66
364,359,Mallorca,Spanish Segunda Division,1.01,1.33,37.58
365,368,Willem II,Dutch Eredivisie,1.65,2.1,37.58
366,370,Sunderland,English League One,1.2,1.58,37.47
367,335,IFK Goteborg,Swedish Allsvenskan,1.22,1.6,37.44
368,372,Odd BK,Norwegian Tippeligaen,1.07,1.41,37.39
369,373,F91 Dudelange,UEFA Europa League,1.35,1.76,37.32
370,374,FC Ingolstadt 04,German 2. Bundesliga,1.2,1.57,37.28
371,375,Querétaro,Mexican Primera Division Torneo Clausura,1.04,1.38,37.23
372,404,Orlando City SC,Major League Soccer,1.24,1.63,37.21
373,376,Jahn Regensburg,German 2. Bundesliga,1.45,1.89,37.13
374,394,Urawa Red Diamonds,Japanese J League,1.15,1.54,36.83
375,377,Brescia,Italy Serie B,1.16,1.55,36.82
376,382,Columbus Crew,Major League Soccer,1.08,1.45,36.78
377,350,Montreal Impact,Major League Soccer,1.07,1.45,36.72
378,378,SV Mattersburg,Austrian T-Mobile Bundesliga,1.14,1.53,36.7
379,379,Gimnasia La Plata,Argentina Primera Division,0.98,1.34,36.67
380,380,Melbourne Victory,Australian A-League,1.28,1.71,36.66
381,381,FC Dallas,Major League Soccer,1.12,1.52,36.62
382,358,DC United,Major League Soccer,1.19,1.6,36.58
383,384,Henan Jianye,Chinese Super League,1.13,1.53,36.47
384,383,Randers FC,Danish SAS-Ligaen,1.08,1.47,36.46
385,385,Arizona United,United Soccer League,1.27,1.7,36.44
386,386,C.D. Nacional,Portuguese Liga,1.13,1.54,36.27
387,361,CSA,Brasileiro Série A,1.03,1.41,36.24
388,371,Real Salt Lake,Major League Soccer,1.22,1.66,36.13
389,387,Maritimo,Portuguese Liga,0.96,1.34,36.12
390,388,Reading,English League Championship,1.06,1.46,36.12
391,400,Consadole Sapporo,Japanese J League,1.06,1.47,36.06
392,389,FC Spartak Trnava,UEFA Europa League,0.9,1.27,35.94
393,390,VVV Venlo,Dutch Eredivisie,1.34,1.83,35.93
394,392,Kristiansund BK,Norwegian Tippeligaen,1.1,1.53,35.87
395,393,Wuhan Zall,Chinese Super League,1.08,1.5,35.86
396,395,Deportivo La Coruña,Spanish Segunda Division,0.79,1.14,35.65
397,391,Vissel Kobe,Japanese J League,1.3,1.79,35.62
398,396,AaB,Danish SAS-Ligaen,1.06,1.49,35.59
399,397,SK Brann,Norwegian Tippeligaen,1.1,1.54,35.58
400,398,Eupen,Belgian Jupiler League,1.19,1.68,35.25
401,399,Hibernian,Scottish Premiership,0.98,1.42,35.1
402,401,Minnesota United FC,Major League Soccer,1.25,1.76,35.05
403,402,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.44,2.0,34.88
404,403,Adelaide United,Australian A-League,1.06,1.53,34.86
405,405,Palermo,Italy Serie B,1.07,1.55,34.69
406,406,Paris FC,French Ligue 2,0.66,1.01,34.54
407,408,1. FC Heidenheim 1846,German 2. Bundesliga,1.17,1.68,34.46
408,410,KV Oostende,Belgian Jupiler League,1.02,1.51,34.18
409,416,Tianjin Quanujian,Chinese Super League,1.11,1.63,34.17
410,411,Metallurg Krasnoyarsk,Russian Premier Liga,1.15,1.68,34.11
411,412,Bodo/Glimt,Norwegian Tippeligaen,1.18,1.72,34.08
412,431,San Jose Earthquakes,Major League Soccer,1.32,1.91,34.05
413,414,Portsmouth,English League One,1.11,1.63,33.99
414,415,Bidvest Wits,South African ABSA Premier League,0.99,1.49,33.98
415,413,Shenzhen FC,Chinese Super League,1.02,1.52,33.94
416,417,Emmen,Dutch Eredivisie,1.21,1.77,33.85
417,418,Excelsior,Dutch Eredivisie,1.46,2.09,33.75
418,419,Lecce,Italy Serie B,1.0,1.51,33.69
419,407,Real Zaragoza,Spanish Segunda Division,1.05,1.58,33.67
420,420,Feirense,Portuguese Liga,1.01,1.53,33.5
421,422,Hartberg,Austrian T-Mobile Bundesliga,1.43,2.08,33.3
422,423,FC Xanthi,Greek Super League,0.79,1.26,33.25
423,424,KSC Lokeren,Belgian Jupiler League,1.05,1.6,33.19
424,425,VfL Bochum,German 2. Bundesliga,1.15,1.73,33.1
425,426,FC Wacker Innsbruck,Austrian T-Mobile Bundesliga,1.05,1.6,33.09
426,427,Benevento,Italy Serie B,1.02,1.57,33.06
427,428,Black Aces,South African ABSA Premier League,1.02,1.57,33.05
428,429,Almeria,Spanish Segunda Division,0.85,1.35,32.97
429,446,New England Revolution,Major League Soccer,1.2,1.81,32.94
430,421,Östersunds FK,Swedish Allsvenskan,1.11,1.7,32.88
431,430,Valerenga,Norwegian Tippeligaen,1.14,1.74,32.75
432,449,Tampa Bay Rowdies,United Soccer League,0.86,1.38,32.58
433,432,Western Sydney FC,Australian A-League,1.27,1.92,32.55
434,433,Ipswich Town,English League Championship,0.97,1.53,32.52
435,435,Doncaster Rovers,English League One,1.14,1.76,32.41
436,409,Cittadella,Italy Serie B,1.01,1.59,32.35
437,436,Panetolikos,Greek Super League,1.02,1.6,32.35
438,438,SV Sandhausen,German 2. Bundesliga,1.04,1.64,32.32
439,439,Burton Albion,English League One,1.1,1.72,32.3
440,437,Guizhou Renhe,Chinese Super League,1.0,1.59,32.17
441,440,Lorient,French Ligue 2,1.11,1.75,32.0
442,434,Elche,Spanish Segunda Division,1.04,1.66,31.78
443,441,Cercle Brugge,Belgian Jupiler League,1.2,1.88,31.72
444,444,GIF Sundsvall,Swedish Allsvenskan,1.03,1.66,31.72
445,442,Nashville SC,United Soccer League,0.92,1.51,31.7
446,443,Sonderjyske,Danish SAS-Ligaen,1.1,1.76,31.45
447,445,SV Darmstadt 98,German 2. Bundesliga,0.97,1.59,31.34
448,451,Gamba Osaka,Japanese J League,1.03,1.68,31.23
449,447,Sporting Gijón,Spanish Segunda Division,0.8,1.36,31.14
450,466,Verona,Italy Serie B,0.92,1.53,31.12
451,448,1. FC Magdeburg,German 2. Bundesliga,0.92,1.54,31.01
452,450,Giannina,Greek Super League,0.63,1.15,30.78
453,476,Reno 1868 FC,United Soccer League,1.11,1.82,30.74
454,452,Panionios,Greek Super League,0.9,1.53,30.7
455,483,Louisville City FC,United Soccer League,1.13,1.86,30.57
456,453,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,0.99,1.67,30.55
457,474,Extremadura UD,Spanish Segunda Division,0.74,1.32,30.53
458,454,Dynamo Dresden,German 2. Bundesliga,0.94,1.6,30.35
459,455,Crotone,Italy Serie B,0.88,1.53,30.3
460,457,Clermont Foot,French Ligue 2,0.88,1.54,30.14
461,458,Perugia,Italy Serie B,0.93,1.61,30.06
462,460,De Graafschap,Dutch Eredivisie,1.15,1.92,29.96
463,461,Bolton,English League Championship,0.88,1.56,29.83
464,459,Shonan Bellmare,Japanese J League,0.95,1.67,29.51
465,473,Real Oviedo,Spanish Segunda Division,0.87,1.57,29.43
466,467,Spezia,Italy Serie B,0.96,1.69,29.4
467,456,New Mexico United,United Soccer League,1.16,1.98,29.28
468,468,Sarpsborg,Norwegian Tippeligaen,0.91,1.62,29.26
469,469,Le Havre,French Ligue 2,0.9,1.61,29.25
470,465,Vancouver Whitecaps,Major League Soccer,1.01,1.77,29.2
471,464,IF Elfsborg,Swedish Allsvenskan,0.94,1.68,29.16
472,504,Vegalta Sendai,Japanese J League,1.09,1.89,29.07
473,472,Wellington Phoenix,Australian A-League,1.2,2.04,29.0
474,463,Oita Trinita,Japanese J League,0.79,1.47,28.92
475,470,Shimizu S-Pulse,Japanese J League,1.19,2.04,28.86
476,462,FC Cincinnati,Major League Soccer,0.95,1.71,28.83
477,475,Stromsgodset,Norwegian Tippeligaen,1.04,1.85,28.54
478,501,New York Red Bulls II,United Soccer League,1.2,2.07,28.54
479,471,Las Palmas,Spanish Segunda Division,0.88,1.62,28.5
480,487,Colorado Rapids,Major League Soccer,1.16,2.05,28.14
481,477,Hobro IK,Danish SAS-Ligaen,0.91,1.69,28.0
482,479,Cosenza,Italy Serie B,0.78,1.52,27.82
483,480,Grasshoppers Zürich,Swiss Raiffeisen Super League,0.96,1.78,27.78
484,499,Orebro SK,Swedish Allsvenskan,0.99,1.83,27.72
485,484,Tenerife,Spanish Segunda Division,0.83,1.61,27.66
486,492,Indy Eleven,United Soccer League,0.81,1.58,27.53
487,481,FC St. Pauli,German 2. Bundesliga,0.94,1.78,27.53
488,482,Orange County SC,United Soccer League,1.1,2.01,27.45
489,485,Chateauroux,French Ligue 2,0.78,1.54,27.37
490,478,Lugo,Spanish Segunda Division,0.79,1.57,27.29
491,486,Vendsyssel,Danish SAS-Ligaen,0.87,1.69,27.21
492,491,Numancia,Spanish Segunda Division,0.75,1.51,27.16
493,489,Orléans,French Ligue 2,1.0,1.9,26.96
494,490,Erzgebirge Aue,German 2. Bundesliga,0.85,1.67,26.94
495,493,Vejle,Danish SAS-Ligaen,0.97,1.86,26.82
496,488,Kalmar FF,Swedish Allsvenskan,0.65,1.38,26.82
497,494,St. Pölten,Austrian T-Mobile Bundesliga,0.88,1.73,26.78
498,495,Hearts,Scottish Premiership,0.83,1.65,26.72
499,497,AS Nancy Lorraine,French Ligue 2,0.85,1.69,26.62
500,498,Coventry City,English League One,0.85,1.69,26.6
501,500,Oxford United,English League One,0.89,1.78,26.23
502,502,Rayo Majadahonda,Spanish Segunda Division,1.04,1.99,26.23
503,503,SpVgg Greuther Fürth,German 2. Bundesliga,0.83,1.7,26.11
504,505,Cremonese,Italy Serie B,0.65,1.44,25.88
505,506,Ranheim,Norwegian Tippeligaen,0.97,1.92,25.83
506,507,Veracruz,Mexican Primera Division Torneo Clausura,0.88,1.8,25.8
507,508,Peterborough United,English League One,0.92,1.86,25.79
508,509,Anzhi Makhachkala,Russian Premier Liga,0.69,1.51,25.72
509,510,Foggia,Italy Serie B,0.8,1.68,25.7
510,511,Jubilo Iwata,Japanese J League,0.69,1.51,25.67
511,513,Kaizer Chiefs,South African ABSA Premier League,0.6,1.38,25.43
512,514,Fortuna Sittard,Dutch Eredivisie,1.23,2.33,25.39
513,515,Highlands Park FC,South African ABSA Premier League,0.7,1.55,25.25
514,516,Polokwane City FC,South African ABSA Premier League,0.79,1.7,25.18
515,517,Viking FK,Norwegian Tippeligaen,0.89,1.84,25.11
516,496,IK Sirius,Swedish Allsvenskan,1.0,2.03,24.94
517,519,MSV Duisburg,German 2. Bundesliga,1.06,2.13,24.72
518,520,Motherwell,Scottish Premiership,0.91,1.92,24.6
519,521,Valenciennes,French Ligue 2,1.04,2.11,24.58
520,512,Sagan Tosu,Japanese J League,0.57,1.4,24.33
521,518,North Carolina FC,United Soccer League,0.85,1.84,24.23
522,523,Lillestrom,Norwegian Tippeligaen,0.83,1.82,24.22
523,524,Bloem Celtic,South African ABSA Premier League,0.75,1.69,24.11
524,525,Fleetwood Town,English League One,0.72,1.68,23.79
525,526,Bristol Rovers,English League One,0.66,1.58,23.71
526,522,Helsingborgs IF,Swedish Allsvenskan,0.8,1.82,23.53
527,527,Pittsburgh Riverhounds,United Soccer League,0.79,1.8,23.37
528,529,Saint Louis FC,United Soccer League,0.64,1.58,23.19
529,530,Stabaek,Norwegian Tippeligaen,0.84,1.91,23.09
530,531,US Pescara,Italy Serie B,0.76,1.79,22.99
531,533,Gillingham,English League One,0.84,1.94,22.58
532,535,AC Horsens,Danish SAS-Ligaen,0.77,1.84,22.35
533,536,Auxerre,French Ligue 2,0.51,1.42,22.32
534,532,Salernitana,Italy Serie B,0.76,1.85,22.23
